Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,eval_frequency,initial_rate,max_steps,model_name,optimizers,section,section_model,size,AWARDS_f1_score,AWARDS_precision,AWARDS_recall,Address_f1_score,Address_precision,Address_recall,CERTIFICATIONS_f1_score,CERTIFICATIONS_precision,CERTIFICATIONS_recall,CLIENT_f1_score,CLIENT_precision,CLIENT_recall,COMPANY_LOC_f1_score,COMPANY_LOC_precision,COMPANY_LOC_recall,COMPANY_f1_score,COMPANY_precision,COMPANY_recall,DESGINATION_f1_score,DESGINATION_precision,DESGINATION_recall,EDUCATIONAL_INSTITUTION_f1_score,EDUCATIONAL_INSTITUTION_precision,EDUCATIONAL_INSTITUTION_recall,EMAIL_f1_score,EMAIL_precision,EMAIL_recall,GITHUB_URL_f1_score,GITHUB_URL_precision,GITHUB_URL_recall,HIGHER_EDUCATION_f1_score,HIGHER_EDUCATION_precision,HIGHER_EDUCATION_recall,LINKEDIN_URL_f1_score,LINKEDIN_URL_precision,LINKEDIN_URL_recall,LinkedIn URL_f1_score,LinkedIn URL_precision,LinkedIn URL_recall,NAME_f1_score,NAME_precision,NAME_recall,PASSOUTYEAR_f1_score,PASSOUTYEAR_precision,PASSOUTYEAR_recall,PERSON_ADDRESS_f1_score,PERSON_ADDRESS_precision,PERSON_ADDRESS_recall,PHONE_NO_f1_score,PHONE_NO_precision,PHONE_NO_recall,PROJECTS_f1_score,PROJECTS_precision,PROJECTS_recall,SKILLS_f1_score,SKILLS_precision,SKILLS_recall,SUMMARY_f1_score,SUMMARY_precision,SUMMARY_recall,TOTAL_EXP_f1_score,TOTAL_EXP_precision,TOTAL_EXP_recall,WORKING_DATES_f1_score,WORKING_DATES_precision,WORKING_DATES_recall,accuracy,f1_score,kappa,length,precision,recall,model_flavor
2023-08-11 09:32:11,6.8s,3dfe7f63b5154159a8696c4af6e46b51,personal_details_section_20230811-092024,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",personal_details_section,personal_details_section_microsoft/deberta-base,2000,,,,,,,,,,,,,,,,,,,,,,,,,0.9538461538,0.9356955381,0.9727148704,0.6206896552,0.6,0.6428571429,,,,0.8768768769,0.8848484848,0.869047619,,,,0.9015837104,0.9015837104,0.9015837104,,,,0.7286585366,0.7177177177,0.7399380805,0.9085714286,0.8957746479,0.9217391304,,,,,,,0.715855573,0.7058823529,0.7261146497,0.8941176471,0.8881469115,0.9001692047,,,,0.8790175690333334,0.8789695192,0.7701352394819578,2907,0.8710819009,0.887001287,spacypersonal_details_section
2023-08-11 09:18:26,7.7s,fab97c0684a14baea82c7dee8f5d8c62,entire_resume_20230811-090043,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",entire_resume,entire_resume_microsoft/deberta-base,2000,0,0,0,,,,0.3919167177,0.4407713499,0.3528114664,0.0495137047,0.059447983,0.0424242424,0.8932253314,0.9038748137,0.8828238719,0.8010279001,0.7833891814,0.8194792188,0.8080261526,0.7946784922,0.8218298555,0.7121559633,0.7113402062,0.7129735936,0.8818698673,0.8419782871,0.925729443,0,0,0,0.6862406448,0.6914153132,0.6811428571,0.656424581,0.6119791667,0.7078313253,0,0,0,0.8102893891,0.7817993795,0.8409343715,0.7243243243,0.774566474,0.6802030457,0.3570469799,0.3490813648,0.3653846154,0.83645766,0.7938650307,0.8838797814,0.3983781044,0.4781021898,0.3414422242,0.8755493057,0.8559007492,0.896121186,0,0,0,0.7949326999,0.7437037037,0.8537414966,0.9316983727,0.9329814092,0.9304188602,0.8238511929,0.8238084887,0.7420657943918147,2913,0.8166079592,0.8311371308,spacyentire_resume
2023-08-10 09:31:09,6.9s,8478ba3b801942829d84bc2f0182ecee,personal_details_section_20230810-091919,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",personal_details_section,personal_details_section_microsoft/deberta-base,2000,,,,,,,,,,,,,,,,,,,,,,,,,0.9539333806,0.9386331939,0.969740634,0.619047619,0.5652173913,0.6842105263,,,,0.8386075949,0.8466453674,0.8307210031,,,,0.8944844125,0.8880952381,0.9009661836,,,,0.6914728682,0.6757575758,0.7079365079,0.9180811808,0.9027576197,0.9339339339,,,,,,,0.7023411371,0.7094594595,0.6953642384,0.8908926961,0.8900900901,0.8916967509,,,,0.8702867011666666,0.8702412869,0.6556940836015887,2721,0.86260962,0.8780091966,spacypersonal_details_section
2023-08-10 09:17:41,7.8s,4be54f6db7d14caba2f143e0ca5e9a28,entire_resume_20230810-090022,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",entire_resume,entire_resume_microsoft/deberta-base,2000,0,0,0,,,,0.2528180354,0.3568181818,0.1957605985,0,0,0,0.8162965682,0.7903340441,0.8440227704,0.7055884287,0.6983342009,0.7129949508,0.7178954656,0.6828358209,0.7567501824,0.5265104809,0.5291201983,0.5239263804,0.8573416841,0.8224299065,0.8953488372,0,0,0,0.6054254007,0.604679803,0.6061728395,0.4301994302,0.3922077922,0.476340694,0,0,0,0.7655889145,0.7374860957,0.7959183673,0.4091381101,0.4828431373,0.354954955,0.1109057301,0.1463414634,0.0892857143,0.557501904,0.5665634675,0.5487256372,0.0832666133,0.2429906542,0.0502415459,0.8336924295,0.8207991878,0.8469971936,0,0,0,0.7932862191,0.7636054422,0.8253676471,0.8764684941,0.8732560889,0.8797046212,0.7653612244,0.7653412128,0.6073406596114599,2727,0.7701644002,0.7605780602,spacyentire_resume
2023-08-09 16:22:54,7.5s,ec4d2184be354900b64316cb79d084eb,personal_details_section_20230809-160059,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,32,200,0.00001,20000,"""microsoft/deberta-base""","""Adam.v1""",personal_details_section,personal_details_section_microsoft/deberta-base,2000,,,,,,,,,,,,,,,,,,,,,,,,,0.9498233216,0.932038835,0.9682997118,0.619047619,0.5652173913,0.6842105263,,,,0.8508634223,0.8522012579,0.8495297806,,,,0.8912783751,0.8817966903,0.9009661836,,,,0.6976047904,0.6600566572,0.7396825397,0.9031781227,0.8893740902,0.9174174174,,,,,,,0.7213675214,0.7455830389,0.6986754967,0.9072907291,0.9048473968,0.9097472924,,,,0.8714285592666666,0.8713426854,0.7576452642032037,2721,0.860876452,0.8820665404,spacypersonal_details_section
2023-08-09 15:58:59,8.4s,9a3ba49c70494dafa2fdb7cf5c047128,entire_resume_20230809-153452,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,32,200,0.00001,19998,"""microsoft/deberta-base""","""Adam.v1""",entire_resume,entire_resume_microsoft/deberta-base,2000,0,0,0,,,,0.3788487282,0.4089595376,0.3528678304,0,0,0,0.8753546435,0.8725490196,0.8781783681,0.7663924208,0.7217656727,0.8169014085,0.8012019231,0.7918745545,0.8107516419,0.6807453416,0.6893081761,0.672392638,0.8285912561,0.7928286853,0.8677325581,0,0,0,0.6490233144,0.6628056628,0.6358024691,0.4303030303,0.4139941691,0.4479495268,0,0,0,0.8068376068,0.7678958785,0.849939976,0.6588021779,0.6636197441,0.6540540541,0.1520467836,0.1494252874,0.1547619048,0.7210787793,0.6846361186,0.7616191904,0.2574468085,0.2863905325,0.2338164251,0.857307998,0.8286602186,0.8880074836,0,0,0,0.7986171132,0.7536704731,0.8492647059,0.9257183737,0.9267128193,0.92472606,0.8017803867,0.8015931553,0.7492918089449159,2727,0.7868672047,0.8168808001,spacyentire_resume
2023-08-09 09:31:03,6.9s,f5039967ebe2424ca2da4e98da32e11b,personal_details_section_20230809-091903,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",personal_details_section,personal_details_section_microsoft/deberta-base,2000,,,,,,,,,,,,,,,,,,,,,,,,,0.9681335357,0.9637462236,0.9725609756,0.8,0.6666666667,1,,,,0.881533101,0.875432526,0.8877192982,,,,0.8949416342,0.892626132,0.8972691808,,,,0.7387387387,0.7321428571,0.7454545455,0.9126671912,0.9133858268,0.9119496855,,,,,,,0.6776556777,0.7034220532,0.6537102473,0.8968692449,0.8822463768,0.9119850187,,,,0.8814290882333333,0.8814246417,0.7827740235830151,2505,0.8790066416,0.8838559814,spacypersonal_details_section
2023-08-09 09:17:35,8.7s,73808b3c5f4740b9a6a08951770b640c,entire_resume_20230809-090047,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",entire_resume,entire_resume_microsoft/deberta-base,2000,0,0,0,,,,0.4173913043,0.4690553746,0.3759791123,0.0084745763,0.0112676056,0.0067911715,0.852293578,0.8789025544,0.8272484417,0.7877959927,0.8021638331,0.7739337906,0.8097765363,0.8111359821,0.8084216397,0.7137809187,0.7616892911,0.6715425532,0.891991183,0.8537271449,0.9338461538,0,0,0,0.6937321937,0.7435114504,0.650200267,0.5714285714,0.5247813411,0.6271777003,0,0,0,0.8331177232,0.8193384224,0.8473684211,0.7070063694,0.7798594848,0.6466019417,0.3015267176,0.3464912281,0.2668918919,0.8276899925,0.7902298851,0.868878357,0.3286384977,0.3988603989,0.2794411178,0.8582053229,0.8456108042,0.8711806791,0.004842615,0.0072463768,0.0036363636,0.8372978116,0.8058608059,0.8712871287,0.9100427056,0.9265077139,0.89415268,0.8107433447333333,0.8107139345,0.6049590832708343,2510,0.8167385943,0.8047775054,spacyentire_resume
2023-08-08 16:18:53,7.2s,5cfb79d8c9d84899b59bac5067aa19e5,experience_details_section_20230808-160414,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",experience_details_section,experience_details_section_microsoft/deberta-base,2000,0,0,0,,,,0,0,0,,,,0.8746217034,0.852148273,0.898312611,0.7992214403,0.773174971,0.8270839789,0.8305038335,0.8155418123,0.8460251046,0,0,0,,,,,,,0,0,0,,,,,,,,,,0,0,0,,,,,,,0.4740331492,0.5335820896,0.4264413519,0.8798438376,0.8552962838,0.9058420885,,,,,,,0.9295392954,0.9161324786,0.9433443344,0.8633525699666666,0.863051563,0.8851126329209195,2456,0.843757677,0.8832484699,spacyexperience_details_section
2023-08-08 16:01:51,4.2s,5f03f61558654080836e8c53551130d0,personal_details_section_20230808-154939,LOCAL,/home/ptgml/local_machine/train_spacy.py,ptgml,FINISHED,64,200,0.00001,2000,"""microsoft/deberta-base""","""Adam.v1""",personal_details_section,personal_details_section_microsoft/deberta-base,2000,,,,,,,,,,,,,,,,,,,,,,,,,0.9618196588,0.9396825397,0.9850249584,0.7222222222,0.7222222222,0.7222222222,,,,0.8542094456,0.8559670782,0.8524590164,,,,0.9138418079,0.9011142061,0.9269340974,,,,0.7258064516,0.7058823529,0.7468879668,0.9121621622,0.9,0.9246575342,,,,,,,0.7227722772,0.6974522293,0.75,0.8845014808,0.8784313725,0.8906560636,,,,0.8803584503,0.8801978667,0.5220404386998626,2275,0.8658759124,0.8950015718,spacypersonal_details_section
